 294.160    3.960
 295.160    3.973
 296.160    3.986
 297.160    4.000
 298.160    4.013
 299.160    4.026
 300.160    4.039
 301.160    4.053
 302.160    4.066
 303.160    4.079
 304.160    4.092
 305.160    4.105
 306.160    4.119
 307.160    4.132
 308.160    4.145
 309.160    4.158
 310.160    4.171
 311.160    4.185
 312.160    4.198
 313.160    4.211
 314.160    4.224
 315.160    4.238
 316.160    4.251
 317.160    4.264
 318.160    4.277
 319.160    4.290
 320.160    4.304
 321.160    4.317
 322.160    4.330
 323.160    4.343
 324.160    4.356
 325.160    4.370
 326.160    4.383
 327.160    4.396
 328.160    4.409
 329.160    4.423
 330.160    4.436
 331.160    4.449
 332.160    4.462
 333.160    4.475
 334.160    4.489
 335.160    4.502
 336.160    4.515
 337.160    4.528
 338.160    4.541
 339.160    4.555
 340.160    4.568
 341.160    4.581
 342.160    4.594
 343.160    4.608
 344.160    4.621
 345.160    4.634
 346.160    4.647
 347.160    4.660
 348.160    4.674
 349.160    4.687
 350.160    4.700
 351.160    4.713
 352.160    4.726
 353.160    4.740
 354.160    4.753
 355.160    4.766
 356.160    4.779
 357.160    4.793
 358.160    4.806
 359.160    4.819
 360.160    4.832
 361.160    4.845
 362.160    4.859
 363.160    4.872
 364.160    4.885
 365.160    4.898
 366.160    4.911
 367.160    4.925
 368.160    4.938
 369.160    4.951
 370.160    4.964
 371.160    4.978
 372.160    4.991
 373.160    5.004
 374.160    5.017
 375.160    5.030
 376.160    5.044
 377.160    5.057
 378.160    5.070
 379.160    5.083
 380.160    5.097
 381.160    5.110
 382.160    5.123
 383.160    5.136
 384.160    5.149
 385.160    5.163
 386.160    5.176
 387.160    5.189
 388.160    5.202
 389.160    5.215
 390.160    5.229
 391.160    5.242
 392.160    5.255
 393.160    5.268
 394.160    5.282
 395.160    5.295
 396.160    5.308
 397.160    5.321
 398.160    5.334
 399.160    5.348
 400.160    5.361
 401.160    5.374
 402.160    5.387
 403.160    5.400
 404.160    5.414
 405.160    5.427
 406.160    5.440
 407.160    5.453
 408.160    5.467
 409.160    5.480
 410.160    5.493
 411.160    5.506
 412.160    5.519
 413.160    5.533
 414.160    5.546
 415.160    5.559
 416.160    5.572
 417.160    5.585
 418.160    5.599
 419.160    5.612
 420.160    5.625
 421.160    5.638
 422.160    5.652
 423.160    5.665
 424.160    5.678
 425.160    5.691
 426.160    5.704
 427.160    5.718
 428.160    5.731
 429.160    5.744
 430.160    5.757
 431.160    5.770
 432.160    5.784
 433.160    5.797
 434.160    5.810
 435.160    5.823
 436.160    5.837
 437.160    5.850
 438.160    5.863
 439.160    5.876
 440.160    5.889
 441.160    5.903
 442.160    5.916
 443.160    5.929
 444.160    5.942
 445.160    5.956
 446.160    5.969
 447.160    5.982
 448.160    5.995
 449.160    6.008
 450.160    6.022
 451.160    6.035
 452.160    6.048
 453.160    6.061
 454.160    6.074
 455.160    6.088
 456.160    6.101
 457.160    6.114
 458.160    6.127
 459.160    6.141
 460.160    6.154
 461.160    6.167
 462.160    6.180
 463.160    6.193
 464.160    6.207
 465.160    6.220
 466.160    6.233
 467.160    6.246
 468.160    6.259
 469.160    6.273
 470.160    6.286
 471.160    6.299
 472.160    6.312
 473.160    6.326
 474.160    6.339
 475.160    6.352
 476.160    6.365
 477.160    6.378
 478.160    6.392
 479.160    6.405
 480.160    6.418
 481.160    6.431
 482.160    6.444
 483.160    6.458
 484.160    6.471
 485.160    6.484
 486.160    6.497
 487.160    6.511
 488.160    6.524
 489.160    6.537
 490.160    6.550
 491.160    6.563
 492.160    6.577
 493.160    6.590
 494.160    6.603
 495.160    6.616
 496.160    6.629
 497.160    6.643
 498.160    6.656
 499.160    6.669
 500.160    6.682
 501.160    6.696
 502.160    6.709
 503.160    6.722
 504.160    6.735
 505.160    6.748
 506.160    6.762
 507.160    6.775
 508.160    6.788
 509.160    6.801
 510.160    6.814
 511.160    6.828
 512.160    6.841
 513.160    6.854
 514.160    6.867
 515.160    6.881
 516.160    6.894
 517.160    6.907
 518.160    6.920
 519.160    6.933
 520.160    6.947
 521.160    6.960
 522.160    6.973
 523.160    6.986
 524.160    7.000
 525.160    7.013
 526.160    7.026
 527.160    7.039
 528.160    7.052
 529.160    7.066
 530.160    7.079
 531.160    7.092
 532.160    7.105
 533.160    7.118
 534.160    7.132
 535.160    7.145
 536.160    7.158
 537.160    7.171
 538.160    7.185
 539.160    7.198
 540.160    7.211
 541.160    7.224
 542.160    7.237
 543.160    7.251
 544.160    7.264
 545.160    7.277
 546.160    7.290
 547.160    7.303
 548.160    7.317
 549.160    7.330
 550.160    7.343
 551.160    7.356
 552.160    7.370
 553.160    7.383
 554.160    7.396
 555.160    7.409
 556.160    7.422
 557.160    7.436
 558.160    7.449
 559.160    7.462
 560.160    7.475
 561.160    7.488
 562.160    7.502
 563.160    7.515
 564.160    7.528
 565.160    7.541
 566.160    7.555
 567.160    7.568
 568.160    7.581
 569.160    7.594
 570.160    7.607
 571.160    7.621
 572.160    7.634
 573.160    7.647
 574.160    7.660
 575.160    7.673
 576.160    7.687
 577.160    7.700
 578.160    7.713
 579.160    7.726
 580.160    7.740
 581.160    7.753
 582.160    7.766
 583.160    7.779
 584.160    7.792
 585.160    7.806
 586.160    7.819
 587.160    7.832
 588.160    7.845
 589.160    7.859
 590.160    7.872
 591.160    7.885
 592.160    7.898
 593.160    7.911
 594.160    7.925
 595.160    7.938
 596.160    7.951
 597.160    7.964
 598.160    7.977
 599.160    7.991
 600.160    8.004
 601.160    8.017
 602.160    8.030
 603.160    8.044
 604.160    8.057
