 229.600    3.380
 230.600    3.393
 231.600    3.406
 232.600    3.419
 233.600    3.432
 234.600    3.446
 235.600    3.459
 236.600    3.472
 237.600    3.485
 238.600    3.498
 239.600    3.511
 240.600    3.524
 241.600    3.537
 242.600    3.551
 243.600    3.564
 244.600    3.577
 245.600    3.590
 246.600    3.603
 247.600    3.616
 248.600    3.629
 249.600    3.642
 250.600    3.656
 251.600    3.669
 252.600    3.682
 253.600    3.695
 254.600    3.708
 255.600    3.721
 256.600    3.734
 257.600    3.747
 258.600    3.760
 259.600    3.774
 260.600    3.787
 261.600    3.800
 262.600    3.813
 263.600    3.826
 264.600    3.839
 265.600    3.852
 266.600    3.865
 267.600    3.879
 268.600    3.892
 269.600    3.905
 270.600    3.918
 271.600    3.931
 272.600    3.944
 273.600    3.957
 274.600    3.970
 275.600    3.984
 276.600    3.997
 277.600    4.010
 278.600    4.023
 279.600    4.036
 280.600    4.049
 281.600    4.062
 282.600    4.075
 283.600    4.089
 284.600    4.102
 285.600    4.115
 286.600    4.128
 287.600    4.141
 288.600    4.154
 289.600    4.167
 290.600    4.180
 291.600    4.193
 292.600    4.207
 293.600    4.220
 294.600    4.233
 295.600    4.246
 296.600    4.259
 297.600    4.272
 298.600    4.285
 299.600    4.298
 300.600    4.312
 301.600    4.325
 302.600    4.338
 303.600    4.351
 304.600    4.364
 305.600    4.377
 306.600    4.390
 307.600    4.403
 308.600    4.417
 309.600    4.430
 310.600    4.443
 311.600    4.456
 312.600    4.469
 313.600    4.482
 314.600    4.495
 315.600    4.508
 316.600    4.521
 317.600    4.535
 318.600    4.548
 319.600    4.561
 320.600    4.574
 321.600    4.587
 322.600    4.600
 323.600    4.613
 324.600    4.626
 325.600    4.640
 326.600    4.653
 327.600    4.666
 328.600    4.679
 329.600    4.692
 330.600    4.705
 331.600    4.718
 332.600    4.731
 333.600    4.745
 334.600    4.758
 335.600    4.771
 336.600    4.784
 337.600    4.797
 338.600    4.810
 339.600    4.823
 340.600    4.836
 341.600    4.849
 342.600    4.863
 343.600    4.876
 344.600    4.889
 345.600    4.902
 346.600    4.915
 347.600    4.928
 348.600    4.941
 349.600    4.954
 350.600    4.968
 351.600    4.981
 352.600    4.994
 353.600    5.007
 354.600    5.020
 355.600    5.033
 356.600    5.046
 357.600    5.059
 358.600    5.073
 359.600    5.086
 360.600    5.099
 361.600    5.112
 362.600    5.125
 363.600    5.138
 364.600    5.151
 365.600    5.164
 366.600    5.177
 367.600    5.191
 368.600    5.204
 369.600    5.217
 370.600    5.230
 371.600    5.243
 372.600    5.256
 373.600    5.269
 374.600    5.282
 375.600    5.296
 376.600    5.309
 377.600    5.322
 378.600    5.335
 379.600    5.348
 380.600    5.361
 381.600    5.374
 382.600    5.387
 383.600    5.401
 384.600    5.414
 385.600    5.427
 386.600    5.440
 387.600    5.453
 388.600    5.466
 389.600    5.479
 390.600    5.492
 391.600    5.506
 392.600    5.519
 393.600    5.532
 394.600    5.545
 395.600    5.558
 396.600    5.571
 397.600    5.584
 398.600    5.597
 399.600    5.610
 400.600    5.624
 401.600    5.637
 402.600    5.650
 403.600    5.663
 404.600    5.676
 405.600    5.689
 406.600    5.702
 407.600    5.715
 408.600    5.729
 409.600    5.742
 410.600    5.755
 411.600    5.768
 412.600    5.781
 413.600    5.794
 414.600    5.807
 415.600    5.820
 416.600    5.834
 417.600    5.847
 418.600    5.860
 419.600    5.873
 420.600    5.886
 421.600    5.899
 422.600    5.912
 423.600    5.925
 424.600    5.938
 425.600    5.952
 426.600    5.965
 427.600    5.978
 428.600    5.991
 429.600    6.004
 430.600    6.017
 431.600    6.030
 432.600    6.043
 433.600    6.057
 434.600    6.070
 435.600    6.083
 436.600    6.096
 437.600    6.109
 438.600    6.122
 439.600    6.135
 440.600    6.148
 441.600    6.162
 442.600    6.175
 443.600    6.188
 444.600    6.201
 445.600    6.214
 446.600    6.227
 447.600    6.240
 448.600    6.253
 449.600    6.266
 450.600    6.280
 451.600    6.293
 452.600    6.306
 453.600    6.319
 454.600    6.332
 455.600    6.345
 456.600    6.358
 457.600    6.371
 458.600    6.385
 459.600    6.398
 460.600    6.411
 461.600    6.424
 462.600    6.437
 463.600    6.450
 464.600    6.463
 465.600    6.476
 466.600    6.490
 467.600    6.503
 468.600    6.516
 469.600    6.529
 470.600    6.542
 471.600    6.555
 472.600    6.568
 473.600    6.581
 474.600    6.595
 475.600    6.608
 476.600    6.621
 477.600    6.634
 478.600    6.647
 479.600    6.660
 480.600    6.673
 481.600    6.686
 482.600    6.699
 483.600    6.713
 484.600    6.726
 485.600    6.739
 486.600    6.752
 487.600    6.765
 488.600    6.778
 489.600    6.791
 490.600    6.804
 491.600    6.818
 492.600    6.831
 493.600    6.844
 494.600    6.857
 495.600    6.870
 496.600    6.883
 497.600    6.896
 498.600    6.909
 499.600    6.923
 500.600    6.936
 501.600    6.949
 502.600    6.962
 503.600    6.975
 504.600    6.988
 505.600    7.001
 506.600    7.014
 507.600    7.027
 508.600    7.041
 509.600    7.054
 510.600    7.067
 511.600    7.080
 512.600    7.093
 513.600    7.106
 514.600    7.119
 515.600    7.132
 516.600    7.146
 517.600    7.159
 518.600    7.172
 519.600    7.185
 520.600    7.198
 521.600    7.211
 522.600    7.224
 523.600    7.237
 524.600    7.251
 525.600    7.264
 526.600    7.277
 527.600    7.290
 528.600    7.303
 529.600    7.316
 530.600    7.329
 531.600    7.342
 532.600    7.355
 533.600    7.369
 534.600    7.382
 535.600    7.395
 536.600    7.408
 537.600    7.421
 538.600    7.434
 539.600    7.447
